system_id,sentence
1,昨天去看我們金馬男神阮經天演的電影
1,開播前照慣例都會放過幾天要上映的預告片
1,之前加減都會放些國外的預告片
1,結果昨天播了三部電影預告片全部都是臺灣國產
1,周處除三害
1,女鬼橋
1,動物感傷の清晨
1,尤其是動物感傷那部的預告片有夠煽情的啦
1,回到重點
1,今年是國片元年嗎
1,怎麼電影放映前的預告片全部都是臺灣國產的呢
1,還是說是因為國外最近沒啥好片的關係
2,今年金馬獎最佳男主角競爭激烈
2,台北電影節最佳男主角
2,疫起王柏傑
2,金馬獎影帝
2,周處除三害阮經天
2,新生代男神
2,關於我和鬼變成家人的那件事許光漢
2,師大化學系金馬獎最佳男配角得主
2,關於我和鬼變成家人的那件事林柏宏
2,台劇哥金鐘獎視帝
2,富都青年吳慷仁
2,大家看好誰
2,許光漢可以讓金馬收視率破嗎
2,應該很多韓妹會看線上直播
3,如題啦
3,最近聽朋友在那邊聊金馬入圍名單
3,聊聊就聽到他們在說租屋的事
3,什麼租房子要除三害之類的
3,到底是哪三害
3,有沒有周處除三害的八卦
4,是這樣的啦
4,軟今天演出周處除三害
4,三害是大白虎大蛟龍
4,還有害是什麼
4,不是都說周處除三害嗎
5,今天周處除三害上映最近也堆金馬入圍新聞
5,但有人知道阮經天之前是如何嗎
5,用台灣健保在台灣長大
5,演艋舺拿金馬最佳男主角
5,後來年就跑到中國大撈人民幣
5,這就算了
5,最近又要回台灣發展
5,還連拍三部電影
5,大家是都忘記他之前每年都會祝祖國生日快樂了嗎
5,為了撈錢
5,還穿中國解放軍跟武警的衣服上中國節目
5,///
5,三立的圖不是我冤望他
5,真的無法接受
5,是想親自用武力解決台灣嗎
5,現在是在中國混不下去
5,居然跟李烈上演被撿回來戲碼想爭取金馬獎影帝
5,小天是覺得人民幣不夠賺連台幣也要起撈個夠阿
5,各位怎麼看
6,備註請放最後面違者新聞文章刪除
6,媒體來源自由時報
6,記者署名許世穎
6,完整新聞標題
6,新片搶鮮看蒼鷺與少年奇幻旅程阮經天跑路除三害
6,完整新聞內文
6,新片搶鮮看蒼鷺與少年奇幻旅程阮經天跑路除三害
6,//
6,//////////
6,阮經天在周處除三害飾演通緝犯，原想除害卻發現仍參不透貪嗔癡的考驗
6,種態
6,度提供
6,記者許世穎專題報導
6,本檔上映新片包括日本動畫大師宮﨑駿最新作品蒼鷺與少年阮經天再度角逐金馬影
6,帝的周處除三害延續恐怖經典的大法師信徒勇奪今年柏林影展金熊獎的
6,塞納河上的船屋改編自韓劇的新進社員電影版
6,//////////
6,動畫蒼鷺與少年在日本上映時採取零宣傳策略，依舊賣出好成績
6,甲上提供
6,動畫蒼鷺與少年是宮﨑駿繼風起後暌違年再次製作的長片，在日本上映時破天
6,荒採零宣傳獲得成功
6,電影靈感來自小說家吉野源三郎在年發表的你想活出怎
6,樣的人生，但劇情為原創，描述因戰爭喪母的少年與隻會說話的蒼鷺相遇後，展開不
6,可思議的探索旅程
6,台片周處除三害入圍第屆金馬獎項大獎，描述阮經天飾演的通緝犯在角頭大哥告
6,別式上囂張尋仇，卻發現自己竟然只是排名第的通緝犯
6,於是他查出前名通緝犯的下落
6,，要將他們除掉，希望自己成為當代的周處除三害，期望能留名
6,//////////
6,奧斯卡獎得主艾倫鮑絲汀左回歸演出大法師信徒，再度和惡魔交手
6,提
6,供
6,大法師信徒開啟新篇章
6,恐怖片大法師信徒開啟年前推出被譽為影史最恐怖電影大法師全新篇章，
6,帶觀眾進入最黑暗的邪惡核心
6,這次片中有兩位無辜女孩遭惡魔附身，首集曾經歷女兒遭
6,附身的奧斯卡得主艾倫鮑絲汀也回歸演出，被迫面對她最深的夢魘
6,//////////
6,電影塞納河上的船屋強調藝術是最有效的治療，藉藝術來療癒生命
6,海鵬提供
6,塞納河上的船屋以藝術療癒生命
6,電影塞納河上的船屋以巴黎塞納河上座木造駁船堅毅號的藝術工作坊，帶出
6,名精神障礙患者的生命故事，以藝術是最有效的治療，帶領精神障礙患者齊參與歌
