system_id,sentence
9,聽來，靠拼接文字兜情節，怎麼能大膽到拍成電影，甚至授權其他人準備出書，我其實
9,很好奇，我與好友在路邊隨想覺得趣味的主角名字陳廣州，怎麼有天就被改成了陳桂林
9,怎麼能夠這麼沒有想像力這麼懶惰
9,▲阮經天犧牲外型演出電影周處除三害
9,圖種態度電影股份有限公司
9,▲阮經天犧牲外型演出電影周處除三害，被看好再封金馬影帝
9,圖種態度電影
9,股份有限公司
9,他語重心長表示，在該影片前製環節沒有受到尊重，才會走到這個地步，現在向對方要
9,個公開的道歉，周會發律師函
9,其實，牽猴子要求提出證據並無不當，在兩造各有
9,說法時，必須依靠實質證據來釐清事實
9,在著作權法上並無抄襲說法，只有重製權
9,或改作權的侵害，必須根據雙方提出的內容有實質相似或證明創作時彼此高
9,度接觸，才能認定抄襲
9,▲阮經天犧牲外型演出電影周處除三害
9,圖種態度電影股份有限公司
9,▲錢人豪指控阮經天的角色陳桂林，是根據自己設定的陳廣州改名而來
9,圖種
9,態度電影股份有限公司
9,而著作權法僅保護表達，而不保護思想等抽象事物的相似，要認定抄襲的難
9,度頗高，錢人豪必須提出具體證據，包括他曾對外發表過的文字內容或影像紀錄，且證明
9,曾經與該電影製作人士接觸，傳達過該劇本內容，才有辦法在法律上站得住腳
9,若無實質
9,相似合理機會的接觸下，有兩個類似的作品，就有可能是獨立創作各自擁有著作權
9,，不會構成侵權
9,過去，電影目擊者刻在我心底的名字都有過編劇相關爭議，
9,最終被告皆獲不起訴
9,////
9,___
10,媒體來源
10,三立
10,記者署名
10,//
10,娛樂中心徐珮華報導
10,完整新聞標題
10,錢人豪正式提告了
10,公開周處除三害抄襲證據赤裸裸的強盜
10,完整新聞內文
10,由阮經天主演的電影周處除三害，上映首週全台票房就突破萬元，更舉入圍金
10,馬獎項提名，創下亮眼成績
10,不過知名導演錢人豪日發文指控，該片與他構思多年的
10,劇本無法無天有諸多相似之處
10,與周處除三害導演黃精甫筆戰多天後，他今
10,日再度發文並附張截圖佐證，強調創作時間絕對早於周處除三害
10,///////
10,▲阮經天主演的周處除三害成績亮眼
10,圖種態度電影股份有限公司提供
10,錢人豪今日在社群平台發布多張截圖，證明電影中運鈔車將錢掉在大馬路上的橋段，他在
10,年就曾創作並留有寄件備份
10,黑道大哥自首的部分，則是在年發布於個人微博，
10,且故事背景是由幾位認識的長輩親自向他口述，質疑個說自己當時遠在莫斯科的香港
10,導演，如何得知這個故事的緣起
10,///////
10,///////
10,▲錢人豪創作無法無天的內容留有備份
10,圖翻攝自錢人豪臉書
10,不僅如此，周處除三害中部分金句，也都與他劇本中的台詞高度相似
10,他控訴對方僅
10,抄襲了部分內容，沒頭沒尾湊成個自稱極惡的故事，但極惡的是你們的行為舉止，不
10,是電影
10,這不只是剽竊，而是拼接赤裸裸的強盜
10,///////
10,▲錢人豪指出，周處除三害的金句與他寫下的台詞高度相似
10,圖翻攝自錢人豪臉
10,書
10,錢人豪強調，起初只是希望黃精甫能公開道歉，不過對方直沒有善意回應，甚至可說
10,是極高傲的藐視，因此決定正式提出告訴
10,而他此後也不再針對此事在網路上進行回應
10,，律將交由司法途徑處理
10,他呼籲大眾不要觀看電影圈也不要推廣這部作品，也希望
10,文化部台北市文化局及金馬執委會採取具體作法
10,事實上，黃精甫日就公開創作歷程力證清白
10,他提及周處除三害呈現的故事結構
10,人物設定大開殺戒斬妖除惡，以及最重要的宗教部分，都與他年拍攝的電影復
10,仇者之死脈相承
10,而他在年首次對外談到周處除三害的故事，若該片有抄襲
10,，那就是抄襲自己的作品復仇者之死，且未來的年會再抄襲次，以完滿善
10,惡三部曲的願想
10,///
10,錢人豪臉書
10,完整新聞連結或短網址不可用等轉載媒體
10,////
10,備註
10,好精采喔
11,你自己先寫完是回事
11,但人家先拍出來就是人家的
11,不信
11,你去問台大學倫會
11,問蘇宏達管中閔
11,看看我講的對不對
12,錢人豪不就十年前那個棄城的導演
12,開拍前大家都很興奮
12,台灣要拍喪屍片了
12,然後聽他吹的亂七八糟都很開心
12,當年朱木炎還去客串
12,之後借用西門町搞的亂七八糟
12,好像有跟網友戰起來
12,後來上映後端出坨屎
12,就跑去香港還是中國繼續拍
12,續集還是蠻屎的
13,周處除三害是部年台灣犯罪片，
13,香港導演黃精甫的首部台灣作品，
13,由阮經天主演，年月日在台灣上映
13,電影引用古文典故，結合黑幫復仇犯罪動作暴力美學
13,我沒看但有完整劇情
13,我只想說你引用古文典故根本莫名其妙
13,主角姓陳跟周處沒點毛關係
13,周處是為了改過自新所以去除害
13,片中主角則是自首前突然中二病發作
13,想爭通緝犯榜首而去殺其他通緝犯
13,是想使人以為是古裝片而進去看嗎
14,你最後段有邏輯盲點
14,為什麼要沒做過小奸小惡才可以打擊其他奸惡
14,出獄的性侵犯不能去制止性騷擾嗎
14,販毒的人都可以黑吃黑了
14,開應召站的人都可以砸別家應召站了
14,阮經天演的周處除三害
14,也是通緝犯殺其他通緝犯
14,為什麼定要是完人才可以檢舉別人
15,周處除三害
15,最難的是自己
